iter	Passed	Remaining
0	134	133901
1	138	69300
2	144	48004
3	150	37580
4	155	30949
5	158	26204
6	161	22905
7	164	20392
8	167	18389
9	169	16771
10	171	15438
11	174	14328
12	176	13404
13	179	12616
14	181	11910
15	183	11307
16	186	10765
17	188	10286
18	190	9851
19	193	9470
20	195	9119
21	197	8800
22	200	8513
23	202	8246
24	204	7993
25	207	7771
26	209	7552
27	211	7349
28	214	7166
29	216	6997
30	218	6836
31	221	6695
32	223	6555
33	226	6421
34	228	6296
35	230	6180
36	233	6073
37	235	5967
38	237	5862
39	240	5767
40	242	5673
41	245	5594
42	248	5535
43	251	5470
44	254	5396
45	257	5332
46	261	5296
47	264	5243
48	266	5175
49	269	5116
50	272	5076
51	276	5046
52	279	4998
53	282	4945
54	285	4903
55	288	4855
56	290	4803
57	292	4745
58	294	4689
59	295	4629
60	298	4588
61	299	4536
62	301	4489
63	303	4434
64	304	4382
65	306	4336
66	307	4285
67	308	4230
68	311	4196
69	313	4159
70	315	4127
71	316	4085
72	318	4042
73	319	4000
74	321	3960
75	323	3928
76	325	3905
77	327	3874
78	329	3836
79	330	3804
80	332	3768
81	333	3733
82	335	3705
83	337	3684
84	340	3660
85	341	3629
86	342	3595
87	344	3565
88	345	3534
89	346	3505
90	349	3488
91	350	3462
92	352	3438
93	353	3409
94	354	3381
95	356	3353
96	357	3325
97	358	3298
98	359	3275
99	362	3265
100	364	3245
101	365	3218
102	366	3193
103	367	3169
104	369	3146
105	370	3123
106	371	3100
107	372	3079
108	374	3062
109	376	3046
110	378	3030
111	379	3009
112	380	2989
113	381	2968
114	383	2947
115	384	2926
116	385	2909
117	387	2893
118	388	2877
119	390	2863
120	391	2844
121	392	2825
122	393	2804
123	394	2787
124	395	2769
125	396	2752
126	398	2738
127	399	2720
128	402	2715
129	404	2704
130	405	2688
131	406	2672
132	407	2657
133	408	2641
134	409	2625
135	410	2610
136	412	2598
137	414	2592
138	416	2580
139	417	2566
140	418	2552
141	420	2538
142	421	2525
143	422	2511
144	423	2498
145	425	2487
146	428	2484
147	429	2473
148	431	2463
149	432	2451
150	433	2440
151	435	2428
152	436	2417
153	438	2407
154	440	2402
155	442	2393
156	444	2384
157	445	2373
158	446	2363
159	448	2352
160	449	2341
161	450	2331
162	452	2323
163	454	2315
164	456	2308
165	457	2298
166	458	2288
167	460	2279
168	461	2269
169	462	2259
170	463	2249
171	465	2239
172	466	2230
173	467	2220
174	469	2211
175	470	2201
176	471	2192
177	472	2182
178	473	2173
179	475	2164
180	475	2153
181	477	2148
182	479	2140
183	480	2132
184	482	2123
185	483	2114
186	484	2105
187	485	2097
188	487	2090
189	488	2082
190	490	2079
191	492	2073
192	494	2068
193	495	2060
194	497	2053
195	499	2047
196	502	2046
197	504	2041
198	506	2039
199	508	2035
200	510	2028
201	511	2022
202	513	2015
203	514	2008
204	516	2003
205	519	2002
206	520	1995
207	522	1989
208	523	1982
209	525	1975
210	526	1968
211	527	1961
212	529	1955
213	532	1954
214	533	1949
215	535	1943
216	536	1937
217	538	1930
218	539	1923
219	540	1916
220	541	1909
221	543	1906
222	546	1904
223	548	1898
224	549	1891
225	550	1885
226	551	1879
227	552	1872
228	554	1865
229	555	1859
230	558	1859
231	560	1854
232	561	1849
233	563	1843
234	564	1837
235	565	1830
236	566	1824
237	568	1818
238	570	1816
239	573	1815
240	574	1809
241	575	1803
242	577	1797
243	578	1791
244	579	1785
245	580	1779
246	582	1774
247	585	1774
248	586	1769
249	588	1764
250	589	1758
251	590	1753
252	592	1748
253	593	1743
254	595	1739
255	598	1738
256	600	1735
257	601	1729
258	602	1724
259	603	1718
260	605	1713
261	606	1707
262	608	1704
263	611	1705
264	612	1700
265	614	1695
266	615	1689
267	616	1684
268	617	1679
269	619	1673
270	620	1669
271	624	1670
272	625	1666
273	626	1661
274	628	1655
275	629	1650
276	630	1645
277	631	1640
278	633	1636
279	635	1634
280	638	1633
281	639	1628
282	640	1623
283	641	1618
284	643	1613
285	644	1608
286	645	1603
287	646	1599
288	649	1597
289	651	1595
290	653	1591
291	654	1586
292	655	1581
293	656	1576
294	657	1571
295	658	1566
296	659	1561
297	661	1558
298	664	1557
299	665	1552
300	666	1548
301	667	1543
302	668	1538
303	670	1534
304	671	1529
305	672	1524
306	674	1522
307	677	1521
308	678	1517
309	679	1512
310	680	1508
311	681	1503
312	683	1499
313	684	1494
314	685	1490
315	686	1486
316	689	1485
317	691	1483
318	692	1479
319	694	1475
320	695	1470
321	696	1466
322	697	1462
323	698	1458
324	700	1455
325	703	1454
326	704	1449
327	705	1445
328	706	1441
329	708	1437
330	709	1433
331	710	1429
332	711	1425
333	713	1423
334	716	1421
335	717	1417
336	718	1413
337	719	1410
338	721	1406
339	722	1402
340	723	1398
341	724	1394
342	726	1392
343	728	1389
344	730	1385
345	731	1381
346	732	1378
347	733	1374
348	734	1370
349	735	1366
350	736	1362
351	738	1359
352	741	1359
353	744	1358
354	745	1354
355	746	1350
356	747	1346
357	748	1342
358	750	1339
359	751	1335
360	753	1334
361	755	1331
362	756	1327
363	757	1324
364	759	1320
365	760	1316
366	761	1313
367	762	1309
368	763	1306
369	765	1303
370	768	1303
371	769	1299
372	771	1296
373	772	1292
374	773	1288
375	774	1285
376	775	1281
377	776	1278
378	778	1275
379	780	1273
380	782	1270
381	783	1267
382	784	1263
383	785	1260
384	786	1256
